boundaryCollection,boundaryName,boundaryISO,boundaryYearRepresented,boundaryType,boundaryCanonical,nameField,boundarySource-1,boundarySource-2,boundarySource-3,boundarySource-4,boundaryLicense,licenseDetail,licenseSource,boundarySourceURL,sourceDataUpdateDate,buildUpdateDate,Continent,UNSDG-region,UNSDG-subregion,worldBankIncomeGroup,apiURL,boundaryCount,boundaryYearSourceLag,statsArea,statsPerimeter,statsVertices,statsLineResolution,statsVertexDensity
geoBoundaries (Open),Eritrea,ERI,2017,ADM0,Unknown,shapeName,geoBoundaries (Open),OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,"Sep 25, 2020","Aug 25, 2021",Africa,Sub-Saharan Africa,Eastern Africa,Low-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/ERI/ADM0/geoBoundaries-ERI-ADM0.topojson,1,,120390.41880714633,4968.354668804392,37810,131.40319145211296,7.61016523989395
geoBoundaries (Open),Eritrea,ERI,2017,ADM1,Unknown,shapeName,geoBoundaries (Open),OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,"Sep 25, 2020","Aug 25, 2021",Africa,Sub-Saharan Africa,Eastern Africa,Low-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/ERI/ADM1/geoBoundaries-ERI-ADM1.topojson,6,,120390.45258841167,6992.675301894941,38301,182.5716117567411,5.4773027984898475
geoBoundaries (Open),Liberia,LBR,2021,ADM2,Districts,shapeName,geoBoundaries (Open),UNMIL,OCHA ROWCA,,Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),,data.humdata.org/dataset/liberia-admin-level-2-boundaries,data.humdata.org/dataset/liberia-admin-level-2-boundaries,"Mar 18, 2021","Aug 27, 2021",Africa,Sub-Saharan Africa,Western Africa,Low-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/LBR/ADM2/geoBoundaries-LBR-ADM2.topojson,136,,95844.78564764143,18491.655460900616,35996,513.7141754889603,1.9466077591652713
geoBoundaries (Open),Liberia,LBR,2021,ADM0,Liberia,shapeName,geoBoundaries (Open),UNMIL,OCHA ROWCA,,Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),,data.humdata.org/dataset/liberia-admin-level-2-boundaries,data.humdata.org/dataset/liberia-admin-level-2-boundaries,"Mar 18, 2021","Aug 27, 2021",Africa,Sub-Saharan Africa,Western Africa,Low-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/LBR/ADM0/geoBoundaries-LBR-ADM0.topojson,1,,95844.81155455191,2317.331505823386,5502,421.179844751615,2.374282654930309
geoBoundaries (Open),Liberia,LBR,2021,ADM1,Counties,shapeName,geoBoundaries (Open),UNMIL,OCHA ROWCA,,Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),,data.humdata.org/dataset/liberia-admin-level-2-boundaries,data.humdata.org/dataset/liberia-admin-level-2-boundaries,"May 02, 2021","Aug 27, 2021",Africa,Sub-Saharan Africa,Western Africa,Low-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/LBR/ADM1/geoBoundaries-LBR-ADM1.topojson,15,,95844.82317275305,7644.491729010721,18038,423.79929753912415,2.3596074977157846
geoBoundaries (Open),Malaysia,MYS,2018,ADM2,Districts,shapeName,geoBoundaries (Open),geoBoundaries,Wikimedia Commons,,Creative Commons Attribution-ShareAlike 4.0 International License,,en.wikipedia.org/wiki/File,en.wikipedia.org/wiki/File,"Dec 10, 2020","Aug 27, 2021",Asia,Eastern and South-Eastern Asia,South-Eastern Asia,Upper-middle-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/MYS/ADM2/geoBoundaries-MYS-ADM2.topojson,152,,329651.9332099203,36373.93861050623,106457,341.6772838846316,2.926738320530706
geoBoundaries (Open),Malaysia,MYS,2017,ADM0,Unknown,shapeName,geoBoundaries (Open),OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,"Sep 25, 2020","Aug 27, 2021",Asia,Eastern and South-Eastern Asia,South-Eastern Asia,Upper-middle-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/MYS/ADM0/geoBoundaries-MYS-ADM0.topojson,1,,329651.9791829092,10959.696785892003,85413,128.31415341800434,7.793372542016753
geoBoundaries (Open),Malaysia,MYS,2017,ADM1,Unknown,shapeName,geoBoundaries (Open),OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,"Sep 25, 2020","Aug 27, 2021",Asia,Eastern and South-Eastern Asia,South-Eastern Asia,Upper-middle-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/MYS/ADM1/geoBoundaries-MYS-ADM1.topojson,16,,329651.98093186,15929.210219998591,98400,161.8822176829125,6.1773307427672774
geoBoundaries (Open),Saint Lucia,LCA,2019,ADM2,Communities,shapeName,geoBoundaries (Open),Department of Physical Planning,Saint Lucia Open Data,,Creative Commons Attribution 4.0 (CC BY 4.0),,data.govt.lc/dataset/st-lucia-communities,data.govt.lc/dataset/st-lucia-communities,"Jul 21, 2021","Aug 27, 2021",Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Upper-middle-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/LCA/ADM2/geoBoundaries-LCA-ADM2.topojson,547,,603.0725340596914,2596.9154039779205,241833,10.738465817228915,93.12317206388911
geoBoundaries (Open),Saint Lucia,LCA,2017,ADM0,Unknown,shapeName,geoBoundaries (Open),OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,"Sep 25, 2020","Aug 27, 2021",Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Upper-middle-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/LCA/ADM0/geoBoundaries-LCA-ADM0.topojson,1,,602.5384102202496,210.3928945923078,4173,50.417659859167934,19.834320013925836
geoBoundaries (Open),Saint Lucia,LCA,2021,ADM1,district,shapeName,geoBoundaries (Open),OpenStreetMap,,,Creative Commons Attribution-ShareAlike 2.0,,www.openstreetmap.org/copyright,osm-boundaries.com/,"Jun 05, 2021","Aug 27, 2021",Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Upper-middle-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/LCA/ADM1/geoBoundaries-LCA-ADM1.topojson,10,,602.9059878672559,498.15673284853494,10113,49.259046064326604,20.300839742087494
geoBoundaries (Open),Italy,ITA,2016,ADM2,Province,shapeName,geoBoundaries (Open),ISTAT,National Institute of Statistics,,Attribuzione 3.0 Italia (CC BY 3.0 IT),,www.istat.it/it/note-legali,web.archive.org/web/20190215032113/http,"Nov 02, 2020","Aug 26, 2021",Europe,Europe and Northern America,Southern Europe,High-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/ITA/ADM2/geoBoundaries-ITA-ADM2.topojson,110,,301397.5923187275,43711.020069712125,933672,46.81624817892378,21.36010549538633
geoBoundaries (Open),Italy,ITA,2016,ADM3,Unknown,shapeName,geoBoundaries (Open),ISTAT,National Institute of Statistics,,Attribuzione 3.0 Italia (CC BY 3.0 IT),,www.istat.it/it/note-legali,www.istat.it/it/archivio/124086,"Sep 21, 2020","Aug 26, 2021",Europe,Europe and Northern America,Southern Europe,High-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/ITA/ADM3/geoBoundaries-ITA-ADM3.topojson,7998,,301397.59114075114,257608.9364832561,4912807,52.436201235516904,19.070794154376394
geoBoundaries (Open),Italy,ITA,2016,ADM0,Unknown,shapeName,geoBoundaries (Open),ISTAT,National Institute of Statistics,,Attribuzione 3.0 Italia (CC BY 3.0 IT),,www.istat.it/it/note-legali,www.istat.it/it/archivio/124086,"Sep 25, 2020","Aug 26, 2021",Europe,Europe and Northern America,Southern Europe,High-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/ITA/ADM0/geoBoundaries-ITA-ADM0.topojson,1,,301397.5886745442,10885.517873980156,388220,28.039559718665075,35.66389807948128
geoBoundaries (Open),Italy,ITA,2016,ADM1,Unknown,shapeName,geoBoundaries (Open),ISTAT,National Institute of Statistics,,Attribuzione 3.0 Italia (CC BY 3.0 IT),,www.istat.it/it/note-legali,www.istat.it/it/archivio/124086,"Sep 25, 2020","Aug 26, 2021",Europe,Europe and Northern America,Southern Europe,High-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/ITA/ADM1/geoBoundaries-ITA-ADM1.topojson,20,,301397.5925596991,21593.75878969488,558995,38.62960990651952,25.886878030089296
geoBoundaries (Open),Senegal,SEN,2019,ADM2,department,shapeName,geoBoundaries (Open),Government of Senegal,OCHA ROWCA,,Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),,data.humdata.org/dataset/senegal-administrative-boundaries,data.humdata.org/dataset/senegal-administrative-boundaries,"Sep 08, 2021","Sep 14, 2021",Africa,Sub-Saharan Africa,Western Africa,Low-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/SEN/ADM2/geoBoundaries-SEN-ADM2.topojson,45,,196691.26021286382,15115.287419529197,43298,349.09897499951956,2.8645171473258446
geoBoundaries (Open),Senegal,SEN,2019,ADM3,arrondissement,shapeName,geoBoundaries (Open),Government of Senegal,OCHA ROWCA,,Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),,data.humdata.org/dataset/senegal-administrative-boundaries,data.humdata.org/dataset/senegal-administrative-boundaries,"Sep 08, 2021","Sep 14, 2021",Africa,Sub-Saharan Africa,Western Africa,Low-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/SEN/ADM3/geoBoundaries-SEN-ADM3.topojson,121,,196691.19678516046,22909.89798551378,50776,451.1954069937329,2.2163346179937733
geoBoundaries (Open),Senegal,SEN,2019,ADM0,Republic of Senegal,shapeName,geoBoundaries (Open),Government of Senegal,OCHA ROWCA,,Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),,data.humdata.org/dataset/senegal-administrative-boundaries,data.humdata.org/dataset/senegal-administrative-boundaries,"Sep 08, 2021","Sep 14, 2021",Africa,Sub-Saharan Africa,Western Africa,Low-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/SEN/ADM0/geoBoundaries-SEN-ADM0.topojson,1,,196691.13790072413,3308.316848844832,9992,331.09656213419055,3.0202669383039646
geoBoundaries (Open),Senegal,SEN,2019,ADM1,region,shapeName,geoBoundaries (Open),Government of Senegal,OCHA ROWCA,,Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),,data.humdata.org/dataset/senegal-administrative-boundaries,data.humdata.org/dataset/senegal-administrative-boundaries,"Sep 08, 2021","Sep 14, 2021",Africa,Sub-Saharan Africa,Western Africa,Low-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/SEN/ADM1/geoBoundaries-SEN-ADM1.topojson,14,,196691.2335467446,9048.265236904846,24965,362.43802270798506,2.75909241676251
geoBoundaries (Open),Kiribati,KIR,2017,ADM2,Unknown,shapeName,geoBoundaries (Open),OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,"Sep 25, 2020","Aug 26, 2021",Oceania,Oceania (excluding Australia and New Zealand),Micronesia,Lower-middle-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/KIR/ADM2/geoBoundaries-KIR-ADM2.topojson,24,,887.8153089578232,1538.2041447793506,20513,74.98679592352902,13.335681138047194
geoBoundaries (Open),Kiribati,KIR,2017,ADM0,Republic of Kiribati,shapeName,geoBoundaries (Open),OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,"Nov 10, 2020","Aug 26, 2021",Oceania,Oceania (excluding Australia and New Zealand),Micronesia,Lower-middle-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/KIR/ADM0/geoBoundaries-KIR-ADM0.topojson,1,,887.8153089576924,1538.204144779612,20513,74.98679592354176,13.335681138044926
geoBoundaries (Open),Kiribati,KIR,2017,ADM1,Unknown,shapeName,geoBoundaries (Open),OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,"Sep 25, 2020","Aug 26, 2021",Oceania,Oceania (excluding Australia and New Zealand),Micronesia,Lower-middle-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/KIR/ADM1/geoBoundaries-KIR-ADM1.topojson,3,,887.8153089561151,1538.2041447793313,20513,74.98679592352806,13.335681138047361
geoBoundaries (Open),France,FRA,2017,ADM2,Unknown,shapeName,geoBoundaries (Open),OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,"Sep 25, 2020","Sep 08, 2021",Europe,Europe and Northern America,Western Europe,High-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/FRA/ADM2/geoBoundaries-FRA-ADM2.topojson,105,,656727.3927770421,67484.49795753394,1809459,37.2954004249524,26.812957860909638
geoBoundaries (Open),France,FRA,2015,ADM4,Unknown,shapeName,geoBoundaries (Open),OpenStreetMap,Data.gouv.fr (http//data.gouv.fr),,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,www.data.gouv.fr/en/datasets/contours-osm-des-cantons-electoraux-departementaux-2015/,www.data.gouv.fr/en/datasets/contours-osm-des-cantons-electoraux-departementaux-2015/,"Sep 21, 2020","Aug 25, 2021",Europe,Europe and Northern America,Western Europe,High-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/FRA/ADM4/geoBoundaries-FRA-ADM4.topojson,2054,,552949.4391974198,219966.42397825967,5559099,39.56871859599185,25.272488861979372
geoBoundaries (Open),France,FRA,2017,ADM3,Unknown,shapeName,geoBoundaries (Open),OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,"Sep 21, 2020","Aug 25, 2021",Europe,Europe and Northern America,Western Europe,High-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/FRA/ADM3/geoBoundaries-FRA-ADM3.topojson,341,,649195.658037713,119153.6347689206,2939038,40.5417128900411,24.665953377752963
geoBoundaries (Open),France,FRA,2020,ADM5,"Arrondissement municipal, Commune simple, Préfecture, Préfecture de région,Sous-préfrecture",shapeName,geoBoundaries (Open),Republic of France,"Regulatory Authority for Electronic Communications, Posts and Press Distribution (ARCEP)",,Open Data Commons Attribution License 1.0,,www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf,www.data.gouv.fr/fr/datasets/contours-communes-france-administrative-format-admin-express-avec-arrondissements/,"May 10, 2021","Aug 25, 2021",Europe,Europe and Northern America,Western Europe,High-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/FRA/ADM5/geoBoundaries-FRA-ADM5.topojson,35010,,638330.8245291366,732716.6626189585,7204450,101.7033448242348,9.832518308303571
geoBoundaries (Open),France,FRA,2017,ADM0,Unknown,shapeName,geoBoundaries (Open),OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,"Sep 25, 2020","Aug 25, 2021",Europe,Europe and Northern America,Western Europe,High-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/FRA/ADM0/geoBoundaries-FRA-ADM0.topojson,1,,638125.6599526868,14250.869544463545,502186,28.377671907348162,35.238972501513004
geoBoundaries (Open),France,FRA,2017,ADM1,Unknown,shapeName,geoBoundaries (Open),OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,"Sep 25, 2020","Aug 25, 2021",Europe,Europe and Northern America,Western Europe,High-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/FRA/ADM1/geoBoundaries-FRA-ADM1.topojson,18,,638125.6497926496,28855.790644504523,881125,32.748804817142315,30.535465510379524
geoBoundaries (Open),Tonga,TON,2020,ADM2,district,shapeName,geoBoundaries (Open),Pacific Data Hub,,,Creative Commons Attribution 4.0 International (CC BY 4.0),,pacificdata.org/data/geographic_data/2016_ton_phc_admin_boundaries/resource/a825b058-0932-48ac-a3e2-9ec316e89372,pacificdata.org/data/geographic_data/2016_ton_phc_admin_boundaries/resource/a825b058-0932-48ac-a3e2-9ec316e89372,"Jul 29, 2021","Aug 27, 2021",Oceania,Oceania (excluding Australia and New Zealand),Polynesia,Upper-middle-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/TON/ADM2/geoBoundaries-TON-ADM2.topojson,23,,523.3076921573556,789.9915681974851,7799,101.29395668643224,9.872257266991964
geoBoundaries (Open),Tonga,TON,2017,ADM0,Unknown,shapeName,geoBoundaries (Open),OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,"Sep 25, 2020","Aug 27, 2021",Oceania,Oceania (excluding Australia and New Zealand),Polynesia,Upper-middle-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/TON/ADM0/geoBoundaries-TON-ADM0.topojson,1,,682.2720886860997,761.7303098082106,36506,20.86589354649128,47.925098331969394
geoBoundaries (Open),Tonga,TON,2017,ADM1,Unknown,shapeName,geoBoundaries (Open),OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,"Sep 25, 2020","Aug 27, 2021",Oceania,Oceania (excluding Australia and New Zealand),Polynesia,Upper-middle-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/TON/ADM1/geoBoundaries-TON-ADM1.topojson,5,,682.2720886854562,761.7303098082559,36506,20.86589354649252,47.92509833196654
geoBoundaries (Open),Tunisia,TUN,2017,ADM2,Unknown,shapeName,geoBoundaries (Open),OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,"Sep 25, 2020","Aug 27, 2021",Africa,Northern Africa and Western Asia,Northern Africa,Lower-middle-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/TUN/ADM2/geoBoundaries-TUN-ADM2.topojson,264,,154550.59378863478,29093.81473362707,228437,127.3603432614991,7.851737631915593
geoBoundaries (Open),Tunisia,TUN,2017,ADM3,Unknown,shapeName,geoBoundaries (Open),OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,"Sep 25, 2020","Aug 27, 2021",Africa,Northern Africa and Western Asia,Northern Africa,Lower-middle-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/TUN/ADM3/geoBoundaries-TUN-ADM3.topojson,2077,,154521.0133632171,69982.48642182579,590357,118.54265541329362,8.43578201039571
geoBoundaries (Open),Tunisia,TUN,2017,ADM0,Unknown,shapeName,geoBoundaries (Open),OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,"Sep 25, 2020","Aug 27, 2021",Africa,Northern Africa and Western Asia,Northern Africa,Lower-middle-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/TUN/ADM0/geoBoundaries-TUN-ADM0.topojson,1,,155214.29146750408,3657.972295809608,44738,81.76432330031759,12.230273053530132
